outcome,cycle,year,n,n_cases,n_psu,n_strata,design_dof,crit,p_std,se_std,lo_std,hi_std,lo_std_normal,hi_std_normal,p_crude,se_crude,deff_std,n_effective_std,kish_weighting,deff_clustering
Angina,1999-2000,1999.5,4854,180,27,13,14,2.144786687917804,0.03100288275959444,0.0037720456247178325,0.022912649517481037,0.03909311600170784,0.023609673335147487,0.03839609218404139,0.028449670123435074,0.003039708304481738,3.15735345177639,1537.363514771855,1.7690400975779013,1.7847834292163935
Angina,2001-2002,2001.5,5379,199,30,15,15,2.1314495455597755,0.03112134052513487,0.003449397702545579,0.023769123359589164,0.03847355769068058,0.024360521028145538,0.0378821600221242,0.029036715317166322,0.003387775449125108,2.636308825378007,2040.3527645243657,1.579502074644183,1.6690758864447155
Angina,2003-2004,2003.5,5021,212,30,15,15,2.1314495455597755,0.03160300065697154,0.004705441901799363,0.02157358865372336,0.04163241266021972,0.02238033452944479,0.04082566678449829,0.031270935401674554,0.005097953962810255,4.597032390856967,1092.2263697741748,1.5345539622537152,2.995679854819545
Angina,2005-2006,2005.5,4962,155,30,15,15,2.1314495455597755,0.0254060767282,0.0020620118303291296,0.021011002549506094,0.029801150906893906,0.021364533540754904,0.029447619915645096,0.0252026303046144,0.0018801019702769904,0.9082260661010275,5463.397479111821,1.5211082524157813,0.5970818083845173
Angina,2007-2008,2007.5,5913,164,32,16,16,2.1199052992212546,0.020375520886134132,0.002648436437172714,0.014761086448321036,0.02598995532394723,0.015184585469275614,0.025566456302992653,0.020799414655460535,0.0025519288229086086,2.4105333461692764,2452.9841121661743,1.6393956416698645,1.4703792573914265
Angina,2009-2010,2009.5,6200,155,31,15,16,2.1199052992212546,0.01833137564361005,0.0021838400258818234,0.013701841600091691,0.02296090968712841,0.014051049192881677,0.022611702094338423,0.019040978962072838,0.002644655985894587,1.8006459057245119,3443.208895368773,1.5473692816823466,1.1636820809618214
Angina,2011-2012,2011.5,5541,129,31,14,17,2.1098155778333156,0.02134599389407834,0.0024096784818893914,0.016262016695418366,0.026429971092738314,0.01662302406957513,0.02606896371858155,0.022717073144848797,0.0031956866430871604,2.0630288421703105,2685.8567785076903,1.9463558887190011,1.0599443062430365
Angina,2013-2014,2013.5,5761,136,30,15,15,2.1314495455597755,0.02101054392647471,0.0018942159635394636,0.016973118171796447,0.02504796968115297,0.01729788063793736,0.024723207215012057,0.0215783658500045,0.0018154557208776541,1.146921834562802,5023.010135818061,1.5713772956458896,0.7298831653866923
Angina,2015-2016,2015.5,5701,133,30,15,15,2.1314495455597755,0.017784467265569467,0.0018739170066894393,0.013790307713244528,0.021778626817894407,0.014111589932458167,0.021457344598680768,0.020250332545501386,0.0023865127644079704,1.2755778098770654,4469.347111447037,1.9093341890555031,0.6680746708401318
Angina,2017-2018,2017.5,5539,161,30,15,15,2.1314495455597755,0.0231159124128333,0.0023900069589899006,0.018021733166209575,0.028210091659457027,0.018431498773213095,0.027800326052453507,0.026176588020982074,0.003010856690498897,1.8029087494906784,3072.2575402469856,2.332915151108602,0.7728136827582159
Angina,2021-2022,2022.6,7783,181,30,15,15,2.1314495455597755,0.01444983815818085,0.0013130987768532416,0.011651034366981911,0.01724864194937979,0.011876164555548496,0.017023511760813202,0.017227213225515778,0.001707943384579015,1.110135906661861,7010.853313810201,1.482254724980387,0.7489508300785145
