covariate,n,log_hr,log_lo95,log_hi95,hr,hr_lo95,hr_hi95,p
systolic_bp,17890,0.011474575653970712,0.007586115836498167,0.015363035471443257,1.0115,1.0076,1.0155,0.0
age,17890,0.09877776290892114,0.08777009972566382,0.10978542609217845,1.1038,1.0917,1.116,0.0
male,17890,0.6963952648653177,0.49884086842300635,0.893949661307629,2.0065,1.6468,2.4448,0.0
race_black,17890,0.3213155721932688,0.14101169537746575,0.5016194490090718,1.3789,1.1514,1.6514,0.0005
education,17890,-0.06152199313911615,-0.13607502412561925,0.013031037847386955,0.9403,0.8728,1.0131,0.1058
pir,17890,-0.17896702489856975,-0.24620601960295546,-0.11172803019418404,0.8361,0.7818,0.8943,0.0
smoke_current,17890,0.8957410252043948,0.677938173305613,1.1135438771031765,2.4491,1.9698,3.0451,0.0
smoke_former,17890,0.17023593769118858,-0.04625572150090307,0.38672759688328023,1.1856,0.9548,1.4722,0.1233
bmi,17890,0.03928668104053787,0.025196773823924667,0.05337658825715107,1.0401,1.0255,1.0548,0.0
