term,coef,se,lo95,hi95,n,coxph_cluster_coef,svycoxph_coef,svycoxph_average_coef,coxph_cluster_se,svycoxph_se,svycoxph_average_se,coxph_cluster_lo95,svycoxph_lo95,svycoxph_average_lo95,coxph_cluster_hi95,svycoxph_hi95,svycoxph_average_hi95,coxph_cluster_crit,svycoxph_crit,svycoxph_average_crit,coxph_cluster_design_df,svycoxph_design_df,svycoxph_average_design_df,absdiff_coef_svycoxph,absdiff_se_svycoxph,reldiff_se_svycoxph,absdiff_coef_coxph_cluster,absdiff_se_coxph_cluster,reldiff_se_coxph_cluster,reldiff_coef_svycoxph,absdiff_lo95_svycoxph,absdiff_hi95_svycoxph
age,0.09877776290892114,0.005616257885391956,0.08777009972566382,0.10978542609217845,17890,0.0987777629089043,0.0987777629089042,0.0987777629089042,0.0056234951518403,0.0055625619949031,0.0055625619949031,0.0877559149440616,0.0877670125079631,0.0877670125079631,0.109799610873747,0.109788513309845,0.109788513309845,1.95996398454005,1.97943868509329,1.97943868509329,,123.0,123.0,1.6944778913341452e-14,5.369589048885657e-05,0.009653086210644913,1.6833756610878936e-14,7.237266448343639e-06,0.001286969447457464,1.7154446926448854e-13,3.0872177007312818e-06,3.0872176665502904e-06
bmi,0.03928668104053787,0.0071888602687358505,0.025196773823924667,0.05337658825715107,17890,0.0392866810423503,0.0392866810423504,0.0392866810423504,0.0071871836139499,0.0071038143202006,0.0071038143202006,0.0252000600087321,0.0252251161652256,0.0252251161652256,0.0533733020759686,0.0533482459194752,0.0533482459194752,1.95996398454005,1.97943868509329,1.97943868509329,,123.0,123.0,1.8125292933213188e-12,8.504594853525008e-05,0.011971870983931985,1.8124321488066641e-12,1.6766547859502212e-06,0.00023328397826040412,4.6135973954313985e-11,2.8342341300932605e-05,2.834233767586708e-05
education,-0.06152199313911615,0.038037959663834595,-0.13607502412561925,0.013031037847386955,17890,-0.0615219931393108,-0.0615219931393121,-0.0615219931393121,0.0380000881342573,0.0347824085722257,0.0347824085722257,-0.136000797291803,-0.130371638227896,-0.130371638227896,0.0129568110131813,0.0073276519492719,0.0073276519492719,1.95996398454005,1.97943868509329,1.97943868509329,,123.0,123.0,1.9594742495243622e-13,0.0032555510916088964,0.09359763240227433,1.9464985179240557e-13,3.787152957729356e-05,0.0009966168879264297,3.1849979975246813e-12,0.005703385897723262,0.005703385898115055
male,0.6963952648653177,0.10079491153949521,0.49884086842300635,0.893949661307629,17890,0.696395264868402,0.696395264868402,0.696395264868402,0.100798143171577,0.10964678815658,0.10964678815658,0.4988345345436,0.47935617069504,0.47935617069504,0.893955995193204,0.913434359041764,0.913434359041764,1.95996398454005,1.97943868509329,1.97943868509329,,123.0,123.0,3.0843105847111474e-12,0.00885187661708478,0.08073083366969169,3.0843105847111474e-12,3.231632081782121e-06,3.206043266373755e-05,4.428965474505331e-12,0.01948469772796635,0.01948469773413497
pir,-0.17896702489856975,0.034306239928263135,-0.24620601960295546,-0.11172803019418404,17890,-0.178967024899196,-0.178967024899195,-0.178967024899195,0.0342863047206644,0.0340083681086669,0.0340083681086669,-0.246166947314664,-0.246284504350383,-0.246284504350383,-0.111767102483728,-0.111649545448007,-0.111649545448007,1.95996398454005,1.97943868509329,1.97943868509329,,123.0,123.0,6.252498518932725e-13,0.00029787181959623626,0.008758780152121583,6.262490526154352e-13,1.9935207598735516e-05,0.0005814335420848238,3.4936595288738298e-12,7.848474742752631e-05,7.848474617704049e-05
race_black,0.3213155721932688,0.09199346428710783,0.14101169537746575,0.5016194490090718,17890,0.321315572189948,0.321315572189948,0.321315572189948,0.0920319246335898,0.0929998554440276,0.0929998554440276,0.140936314480207,0.137228060615957,0.137228060615957,0.501694829899688,0.50540308376394,0.50540308376394,1.95996398454005,1.97943868509329,1.97943868509329,,123.0,123.0,3.3207880889563057e-12,0.0010063911569197642,0.010821427109910568,3.3207880889563057e-12,3.846034648197216e-05,0.00041790222941762655,1.0334974014247894e-11,0.003783634761508753,0.0037836347548682037
smoke_current,0.8957410252043948,0.11112594599532588,0.677938173305613,1.1135438771031765,17890,0.895741025205491,0.895741025205489,0.895741025205489,0.111116149390837,0.107995875788691,0.107995875788691,0.677957374298679,0.681969810838825,0.681969810838825,1.1135246761123,1.10951223957215,1.10951223957215,1.95996398454005,1.97943868509329,1.97943868509329,,123.0,123.0,1.0942358130705543e-12,0.0031300702066348746,0.02898323832994598,1.0962342145148796e-12,9.796604488881977e-06,8.81654425804809e-05,1.2215984110134167e-12,0.004031637533212007,0.004031637531026533
smoke_former,0.17023593769118858,0.11045695783175112,-0.04625572150090307,0.38672759688328023,17890,0.170235937688918,0.170235937688914,0.170235937688914,0.110592272099569,0.10548157574805,0.10548157574805,-0.0465209325946916,-0.0385583739113743,-0.0385583739113743,0.386992807972527,0.379030249289203,0.379030249289203,1.95996398454005,1.97943868509329,1.97943868509329,,123.0,123.0,2.2745694217007895e-12,0.004975382083701116,0.047168257095297456,2.270572618812139e-12,0.00013531426781787648,0.0012235418013299307,1.3361276429523919e-11,0.007697347589528766,0.007697347594077253
systolic_bp,0.011474575653970712,0.001983944525585276,0.007586115836498167,0.015363035471443257,17890,0.0114745756539727,0.0114745756539727,0.0114745756539727,0.0019818118188569,0.0019791470044152,0.0019791470044152,0.0075902958648773,0.0075569755099467,0.0075569755099467,0.0153588554430681,0.0153921757979987,0.0153921757979987,1.95996398454005,1.97943868509329,1.97943868509329,,123.0,123.0,1.987993103469421e-15,4.797521170075807e-06,0.002424034778302576,1.987993103469421e-15,2.1327067283760832e-06,0.0010761398777035345,1.732519932256617e-13,2.914032655146684e-05,2.9140326555442825e-05
