outcome,cycle,year,n,n_cases,n_psu,n_strata,design_dof,crit,p_std,se_std,lo_std,hi_std,lo_std_normal,hi_std_normal,p_crude,se_crude,deff_std,n_effective_std,kish_weighting,deff_clustering
Myocardial infarction,1999-2000,1999.5,4864,221,27,13,14,2.144786687917804,0.03643930330311291,0.00295807915465477,0.030094854510402207,0.04278375209582361,0.03064146815998956,0.04223713844623626,0.03354542486242461,0.0026888486805475547,1.5887214124072069,3061.581446573531,1.7706097321843748,0.8972736247457677
Myocardial infarction,2001-2002,2001.5,5399,258,30,15,15,2.1314495455597755,0.03488733138396896,0.0031895315352451826,0.028089005842622042,0.04168565692531588,0.028635849574888406,0.04113881319304952,0.03187489493556366,0.0033587718469239806,1.9523832821165166,2765.3381635941464,1.5801277073286135,1.2355857523802578
Myocardial infarction,2003-2004,2003.5,5030,274,30,15,15,2.1314495455597755,0.03974447829621672,0.003779675743478886,0.03168829015041534,0.047800666442018094,0.0323363138389981,0.047152642753435337,0.03925800005467399,0.004341176738742084,2.325275193619973,2163.184819500581,1.5348646479412125,1.5149708456305746
Myocardial infarction,2005-2006,2005.5,4971,215,30,15,15,2.1314495455597755,0.03536039718164786,0.003930480503569864,0.026982776298482315,0.0437380180648134,0.027656655394650925,0.04306413896864479,0.03522037037331398,0.004353521379749416,2.670969706206046,1861.1218197083226,1.5210429146000117,1.756012062886753
Myocardial infarction,2007-2008,2007.5,5924,282,32,16,16,2.1199052992212546,0.032816081868650177,0.0023262915643801644,0.02788456405378696,0.03774759968351339,0.028256550402465053,0.0373756133348353,0.03311682157306137,0.0027200690907065034,1.142902566595053,5183.293985985911,1.640196815135151,0.6968081854864953
Myocardial infarction,2009-2010,2009.5,6201,261,31,15,16,2.1199052992212546,0.030189499311802998,0.002992171046147356,0.023846380054898815,0.03653261856870718,0.02432484406135418,0.03605415456225182,0.031334480560240005,0.0035196262403210513,2.0097308576244246,3085.4877788610006,1.5474666825066206,1.2987231843783662
Myocardial infarction,2011-2012,2011.5,5552,203,31,14,17,2.1098155778333156,0.02964145191770409,0.002428036360990581,0.024518742979740445,0.03476416085566773,0.02488250065016255,0.03440040318524563,0.03161326478868042,0.003035462994322327,1.3788353909176403,4026.5865211836795,1.947366783917595,0.7080512013991439
Myocardial infarction,2013-2014,2013.5,5766,230,30,15,15,2.1314495455597755,0.03144421670693282,0.0025603212047903227,0.02598702123849543,0.03690141217537021,0.02642598714554379,0.03646244626832185,0.03354857874755431,0.003108532021143235,1.3877719744325752,4154.861249707519,1.5713914695617113,0.8831484714751883
Myocardial infarction,2015-2016,2015.5,5710,251,30,15,15,2.1314495455597755,0.029680541933479604,0.002229461671731033,0.024928556866425557,0.034432527000533654,0.02531079705688678,0.034050286810072425,0.03353142496773762,0.00321203292559901,1.032781330932783,5528.759892321898,1.910300276412233,0.5406382146750598
Myocardial infarction,2017-2018,2017.5,5559,270,30,15,15,2.1314495455597755,0.03232176446792062,0.0032908707691640406,0.025307439462489978,0.039336089473351266,0.0258716577603591,0.03877187117548214,0.03742017150179188,0.004464392364957807,2.2844016021562537,2433.4600338017813,2.335325040586641,0.9781942823609706
Myocardial infarction,2021-2022,2022.6,7794,332,30,15,15,2.1314495455597755,0.027172282753765615,0.002356281771756544,0.022149987042144346,0.03219457846538688,0.022553970481122787,0.03179059502640844,0.03245782466842513,0.0028801822459416384,2.0820649218893776,3743.399121736946,1.4820914149857525,1.4048154525673389
