bin,n,predicted_pct,observed_pct,difference_pp
0,372,0.15,0.0,0.15
1,346,0.26,0.29,-0.03
2,355,0.37,0.1,0.27
3,365,0.51,0.12,0.4
4,392,0.7,0.63,0.07
5,411,0.98,0.88,0.1
6,470,1.41,2.85,-1.45
7,532,2.23,2.18,0.05
8,620,3.81,3.45,0.37
9,806,9.14,9.65,-0.51
