cycle,component,module,file_label,rule_id,rule,disposition,decided_by,data_url
1999-2000,Demographics,DEMO,Demographic Variables & Sample Weights,KEEP,whitelist: demographics,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.xpt
1999-2000,Dietary,DRXIFF,Dietary Interview - Individual Foods,R1,UNIT: not person-level,drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DRXIFF.xpt
1999-2000,Dietary,DRXTOT,Dietary Interview - Total Nutrient Intakes,R4,DIET-FRAME: WTDRD1 frame + mediator in DAG,drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DRXTOT.xpt
1999-2000,Dietary,DRXFMT,Dietary Interview Technical Support File - Food Code Format File,R1,UNIT: not person-level,drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DRXFMT.xpt
1999-2000,Dietary,DSBI,Dietary Supplement Database - Blend Information,R1,UNIT: not person-level,drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSBI.xpt
1999-2000,Dietary,DSII,Dietary Supplement Database - Ingredient Information,R1,UNIT: not person-level,drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSII.xpt
1999-2000,Dietary,DSPI,Dietary Supplement Database - Product Information,R1,UNIT: not person-level,drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSPI.xpt
1999-2000,Dietary,DSQFILE1,"Dietary Supplement Use 30-Day - File 1, Supplement Counts",R4,DIET-FRAME: WTDRD1 frame + mediator in DAG,drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSQFILE1.xpt
1999-2000,Dietary,DSQFILE2,"Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements",R4,DIET-FRAME: WTDRD1 frame + mediator in DAG,drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSQFILE2.xpt
1999-2000,Examination,AUX1,Audiometry,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/AUX1.xpt
1999-2000,Examination,AUXAR,Audiometry - Acoustic Reflex,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/AUXAR.xpt
1999-2000,Examination,AUXTYM,Audiometry - Tympanometry,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/AUXTYM.xpt
1999-2000,Examination,BAX,Balance,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BAX.xpt
1999-2000,Examination,BIX,Bioelectrical Impedance Analysis,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BIX.xpt
1999-2000,Examination,BPX,Blood Pressure,KEEP,whitelist: blood_pressure_exam,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BPX.xpt
1999-2000,Examination,BMX,Body Measures,KEEP,whitelist: body_measures,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BMX.xpt
1999-2000,Examination,CVX,Cardiovascular Fitness,R5,"OFF-DAG (considered): cardiovascular FITNESS (treadmill test), not CVD history — different construct",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CVX.xpt
1999-2000,Examination,DXA,Dual-Energy X-ray Absorptiometry - Whole Body,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Nhanes/Dxa/Dxa.aspx
1999-2000,Examination,LEXABPI,Lower Extremity Disease - Ankle Brachial Blood Pressure Index,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LEXABPI.xpt
1999-2000,Examination,LEXPN,Lower Extremity Disease - Peripheral Neuropathy,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LEXPN.xpt
1999-2000,Examination,MSX,Muscle Strength,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/MSX.xpt
1999-2000,Examination,OHXDENT,Oral Health - Dentition,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/OHXDENT.xpt
1999-2000,Examination,OHXPERIO,Oral Health - Periodontal,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/OHXPERIO.xpt
1999-2000,Examination,OHXREF,Oral Health - Recommendation of Care,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/OHXREF.xpt
1999-2000,Examination,SEQ,Shared Exclusion Questions,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SEQ.xpt
1999-2000,Examination,TB,Tuberculosis,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/TB.xpt
1999-2000,Examination,VIX,Vision,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/VIX.xpt
1999-2000,Laboratory,SSAFB_A,Aflatoxin B1-lysine - Serum (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSAFB_A.xpt
1999-2000,Laboratory,LAB16,Albumin & Creatinine - Urine,KEEP,whitelist: urine_albumin_creat,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB16.xpt
1999-2000,Laboratory,SSAMH_A,Anti-Mullerian Hormone (AMH) & Inhibin-B (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSAMH_A.xpt
1999-2000,Laboratory,SSDFS_A,Autoantibodies - Anti-DFS70 Autoantibody Analyses (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSDFS_A.xpt
1999-2000,Laboratory,SSANA_A,Autoantibodies - Immunofluorescence & Immunoprecipitation Analyses (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSANA_A.xpt
1999-2000,Laboratory,SSANA2_A,Autoantibodies - Immunofluorescence Analyses (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSANA2_A.xpt
1999-2000,Laboratory,LAB06,"Cadmium, Lead, Mercury, Cotinine & Nutritional Biochemistries",R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB06.xpt
1999-2000,Laboratory,SSCAFE_A,Caffeine & Caffeine Metabolites - Urine (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSCAFE_A.xpt
1999-2000,Laboratory,LAB05,Chlamydia & Gonorrhea - Urine,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB05.xpt
1999-2000,Laboratory,LAB13AM,Cholesterol - LDL & Triglycerides,KEEP,whitelist: cholesterol_ldl_trig,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB13AM.xpt
1999-2000,Laboratory,LAB13,Cholesterol - Total & HDL,KEEP,whitelist: cholesterol_total_hdl,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB13.xpt
1999-2000,Laboratory,LAB25,Complete Blood Count with 5-part Differential - Whole Blood,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.xpt
1999-2000,Laboratory,LAB11,C-Reactive Protein (CRP),R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB11.xpt
1999-2000,Laboratory,LAB17,Cryptosporidum & Toxoplasma,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB17.xpt
1999-2000,Laboratory,SSCYST_A,Cystatin C - Serum (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSCYST_A.xpt
1999-2000,Laboratory,SSCMV_A,Cytomegalovirus Antibodies - Serum (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSCMV_A.xpt
1999-2000,Laboratory,SSCMVG_A,Cytomegalovirus Genotypes - Urine (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSCMVG_A.xpt
1999-2000,Laboratory,SSUCSH_A,Cytomegalovirus shedding - Urine (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSUCSH_A.xpt
1999-2000,Laboratory,LAB28POC,"Dioxins, Furans, & Coplanar PCBs",R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB28POC.xpt
1999-2000,Laboratory,DEFAULT,DNAm Epigenetic Biomarker,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Nhanes/DNAm/Default.aspx
1999-2000,Laboratory,PH,Fasting Questionnaire,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/PH.xpt
1999-2000,Laboratory,SSFOL_A,Folic Acid - Unmetabolized (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSFOL_A.xpt
1999-2000,Laboratory,SSCARD_A,"Glycated albumin, Beta-2 Microglobulin, Cystatin C (Surplus)",R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSCARD_A.xpt
1999-2000,Laboratory,LAB10,Glycohemoglobin,KEEP,whitelist: glycohemoglobin,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB10.xpt
1999-2000,Laboratory,L02HPA_A,Hepatitis A Antibody,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/L02HPA_A.xpt
1999-2000,Laboratory,L02HBS,Hepatitis B Surface Antibody,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/L02HBS.xpt
1999-2000,Laboratory,LAB02,Hepatitis B: Core Antibody & Surface Antigen; Hepatitis C: Confirmed Antibody & RNA (HCV-RNA); Hepatitis D Antibody,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB02.xpt
1999-2000,Laboratory,LAB09,Herpes Simplex Virus Type-1 & Type-2,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB09.xpt
1999-2000,Laboratory,SSHSV1_A,Herpes Simplex Virus Type-1 (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSHSV1_A.xpt
1999-2000,Laboratory,SSTROP_A,High-sensitivity cardiac troponins (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSTROP_A.xpt
1999-2000,Laboratory,LAB03,"HIV Antibody Test, CD4+ T Lymphocytes & CD8+ T Cells",R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB03.xpt
1999-2000,Laboratory,LAB07,Latex,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB07.xpt
1999-2000,Laboratory,LAB20,Lead - Dust,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB20.xpt
1999-2000,Laboratory,LAB19,"Measles, Rubella, & Varicella",R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB19.xpt
1999-2000,Laboratory,LAB22,Mercury - Hair,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB22.xpt
1999-2000,Laboratory,LAB06HM,Metals - Urine,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB06HM.xpt
1999-2000,Laboratory,SSOL_A,Monoclonal gammopathy of undetermined significance (MGUS) (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSOL_A.xpt
1999-2000,Laboratory,SSMUMP_A,Mumps Antibody - Serum (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSMUMP_A.xpt
1999-2000,Laboratory,SSNORO_A,Norovirus antibody - Serum,R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSNORO_A.xpt
1999-2000,Laboratory,SSBNP_A,N-terminal Pro-BNP (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSBNP_A.xpt
1999-2000,Laboratory,SSPFC_A,Perfluoroalkyl Chemicals - Serum (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSPFC_A.xpt
1999-2000,Laboratory,LAB26PP,"Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)",R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB26PP.xpt
1999-2000,Laboratory,PHPYPA,"Phthalates, Phytoestrogens & PAHs - Urine PHPYPA Urinary Phthalates",R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/PHPYPA.xpt
1999-2000,Laboratory,LAB10AM,"Plasma Fasting Glucose, Serum C-peptide & Insulin",KEEP,whitelist: fasting_glucose,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB10AM.xpt
1999-2000,Laboratory,UC,Pregnancy Test - Urine,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/UC.xpt
1999-2000,Laboratory,SSCHL_A,Sex Steroid Hormone - Men (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSCHL_A.xpt
1999-2000,Laboratory,LAB18,Standard Biochemistry Profile & Hormones,KEEP,whitelist: biochemistry,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB18.xpt
1999-2000,Laboratory,TELO_A,Telomere Mean and Standard Deviation (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/TELO_A.xpt
1999-2000,Laboratory,LAB18T4,Thyroid - Stimulating Hormone & Thyroxine (TSH & T4),R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB18T4.xpt
1999-2000,Laboratory,TFA_A,Trans Fatty Acids,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/TFA_A.xpt
1999-2000,Laboratory,SSTFR_A,Transferrin Receptor - Pregnant Women (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSTFR_A.xpt
1999-2000,Laboratory,SSVARI_A,Varicella-Zoster Virus Antibody (Surplus),R3,"SURPLUS: subsample assay, no companion weight",drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSVARI_A.xpt
1999-2000,Laboratory,LAB04,Volatile Organic Compounds - Blood & Water,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB04.xpt
1999-2000,Laboratory,LAB21,Volatile Organic Compounds (VOC) - Personal Exposure Badge,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB21.xpt
1999-2000,Questionnaire,ACQ,Acculturation,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/ACQ.xpt
1999-2000,Questionnaire,ALQ,Alcohol Use,KEEP,whitelist: alcohol,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/ALQ.xpt
1999-2000,Questionnaire,RXQ_ANA,Analgesic Pain Relievers,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/RXQ_ANA.xpt
1999-2000,Questionnaire,AUQ,Audiometry,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/AUQ.xpt
1999-2000,Questionnaire,BAQ,Balance,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BAQ.xpt
1999-2000,Questionnaire,BPQ,Blood Pressure & Cholesterol,KEEP,whitelist: blood_pressure_quex,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BPQ.xpt
1999-2000,Questionnaire,CDQ,Cardiovascular Health,KEEP,whitelist: cardiovascular_health,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CDQ.xpt
1999-2000,Questionnaire,CFQ,Cognitive Functioning,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CFQ.xpt
1999-2000,Questionnaire,HSQ,Current Health Status,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/HSQ.xpt
1999-2000,Questionnaire,DEQ,Dermatology,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEQ.xpt
1999-2000,Questionnaire,DIQ,Diabetes,KEEP,whitelist: diabetes_quex,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DIQ.xpt
1999-2000,Questionnaire,DBQ,Diet Behavior & Nutrition,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DBQ.xpt
1999-2000,Questionnaire,DUQ,Drug Use,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DUQ.xpt
1999-2000,Questionnaire,ECQ,Early Childhood,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/ECQ.xpt
1999-2000,Questionnaire,FSQ,Food Security,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/FSQ.xpt
1999-2000,Questionnaire,HIQ,Health Insurance,KEEP,whitelist: health_insurance,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/HIQ.xpt
1999-2000,Questionnaire,HUQ,Hospital Utilization & Access to Care,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/HUQ.xpt
1999-2000,Questionnaire,HOQ,Housing Characteristics,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/HOQ.xpt
1999-2000,Questionnaire,IMQ,Immunization,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/IMQ.xpt
1999-2000,Questionnaire,KIQ,Kidney Conditions,KEEP,whitelist: kidney_quex,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/KIQ.xpt
1999-2000,Questionnaire,MCQ,Medical Conditions,KEEP,whitelist: medical_conditions,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/MCQ.xpt
1999-2000,Questionnaire,CIQMDEP,Mental Health - Depression,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQMDEP.xpt
1999-2000,Questionnaire,CIQGAD,Mental Health - Generalized Anxiety Disorder,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQGAD.xpt
1999-2000,Questionnaire,CIQPANIC,Mental Health - Panic Disorder,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.xpt
1999-2000,Questionnaire,MPQ,Miscellaneous Pain,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/MPQ.xpt
1999-2000,Questionnaire,OCQ,Occupation,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/OCQ.xpt
1999-2000,Questionnaire,OHQ,Oral Health,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/OHQ.xpt
1999-2000,Questionnaire,OSQ,Osteoporosis,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/OSQ.xpt
1999-2000,Questionnaire,PUQ,Pesticide Use,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/PUQ.xpt
1999-2000,Questionnaire,PAQ,Physical Activity,KEEP,whitelist: physical_activity,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/PAQ.xpt
1999-2000,Questionnaire,PAQIAF,Physical Activity - Individual Activities,R1,UNIT: not person-level,drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/PAQIAF.xpt
1999-2000,Questionnaire,PFQ,Physical Functioning,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/PFQ.xpt
1999-2000,Questionnaire,RXQ_RX,Prescription Medications,KEEP,whitelist: prescription_meds,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/RXQ_RX.xpt
1999-2000,Questionnaire,RXQ_DRUG,Prescription Medications - Drug Information,R1,UNIT: not person-level,drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1988/DataFiles/RXQ_DRUG.xpt
1999-2000,Questionnaire,RHQ,Reproductive Health,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/RHQ.xpt
1999-2000,Questionnaire,RDQ,Respiratory Health,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/RDQ.xpt
1999-2000,Questionnaire,SXQ,Sexual Behavior,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SXQ.xpt
1999-2000,Questionnaire,SMQMEC,Smoking - Adult Recent Tobacco Use & Youth Cigarette/Tobacco Use,R2,POPULATION: youth/children only,drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SMQMEC.xpt
1999-2000,Questionnaire,SMQ,Smoking - Cigarette/Tobacco Use - Adult,KEEP,whitelist: smoking,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SMQ.xpt
1999-2000,Questionnaire,SMQFAM,Smoking - Household Smokers,R5,"OFF-DAG (considered): household smokers — secondhand exposure, not the participant's own smoking",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SMQFAM.xpt
