cycle,gender,race_ethnicity,prevalence_pct,n_unweighted,n_cases,weighted_pop,outcome,midyear
2011-2012,Female,Non-Hispanic Black,3.6772476087098322,755.0,32.0,1303627.4987328183,Heart Failure,2011.5
2011-2012,Female,Non-Hispanic White,3.356610205263823,1015.0,49.0,6990688.320963182,Heart Failure,2011.5
2011-2012,Female,Other Hispanic,1.785387927682196,314.0,6.0,702473.0068663637,Heart Failure,2011.5
2011-2012,Female,Other/Multiracial,5.085084941465819,70.0,2.0,260749.89732790913,Heart Failure,2011.5
2011-2012,Male,Mexican American,1.4109075368967934,285.0,6.0,817120.5715315455,Heart Failure,2011.5
2011-2012,Male,Non-Hispanic Asian,1.1881841973435106,387.0,7.0,490206.94650363637,Heart Failure,2011.5
2011-2012,Male,Non-Hispanic Black,2.084062493837512,695.0,21.0,1031569.1862681818,Heart Failure,2011.5
2011-2012,Male,Non-Hispanic White,2.6556120724781795,1023.0,47.0,6530557.509546092,Heart Failure,2011.5
2011-2012,Male,Other Hispanic,1.8212806136013981,260.0,7.0,627452.4431038181,Heart Failure,2011.5
2011-2012,Male,Other/Multiracial,7.018956973777745,82.0,2.0,259389.880153,Heart Failure,2011.5
2013-2014,Female,Mexican American,2.6142346090154613,389.0,11.0,914570.2089838181,Heart Failure,2013.5
2013-2014,Female,Non-Hispanic Asian,0.4142436920052969,346.0,2.0,605719.465568,Heart Failure,2013.5
2013-2014,Female,Non-Hispanic Black,3.980169592587306,596.0,26.0,1315587.266637,Heart Failure,2013.5
2013-2014,Female,Non-Hispanic White,2.8330405572018207,1294.0,51.0,7095367.942195363,Heart Failure,2013.5
2013-2014,Female,Other Hispanic,1.2004080474748584,289.0,3.0,624155.1546225455,Heart Failure,2013.5
2013-2014,Female,Other/Multiracial,1.967191795831036,94.0,2.0,260317.91425809092,Heart Failure,2013.5
2013-2014,Male,Mexican American,1.2465801592382089,377.0,8.0,991915.3336066364,Heart Failure,2013.5
2013-2014,Male,Non-Hispanic Asian,1.073252110443146,321.0,4.0,508903.2380640909,Heart Failure,2013.5
